x,y,Nutriment/Item (unité),Year,Région/Province,Sexe,Âge (en années),code,ref_code
531.3063208699599,9.38256795157193e-05,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
553.050143414223,2.88325177968412e-05,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
574.7939659584861,5.22120033387929e-06,Magnésium (mg/j),2004,Canada excluant les territoires,Femmes,71 ans et plus,15,253
70.5711272603602,2.149777297111e-06,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
92.1629103982638,1.83621314187112e-05,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
113.754693536167,9.63611519337872e-05,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
135.346476674071,0.000328997719274,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
156.938259811975,0.000793104959959,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
178.530042949878,0.0014840993974179998,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
200.12182608778198,0.0023351830853529996,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
221.71360922568502,0.00323369384402,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
243.305392363589,0.004026812881449001,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
264.89717550149203,0.0045740029095519994,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
286.488958639396,0.004796589784573,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
308.0807417773,0.004693590554146,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
329.67252491520304,0.004326620513871999,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
351.264308053107,0.0037776283267990005,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
372.85609119100997,0.0031310918210410003,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
394.44787432891405,0.0024838091122520002,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
416.039657466818,0.0019096135565120002,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
437.631440604721,0.001430180577334,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
459.22322374262495,0.0010375849774450002,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
480.815006880528,0.0007242391211429999,Magnésium (mg/j),2004,Canada excluant les territoires,Hommes,9 à 13 ans,4,242
